"","CU","Year","Escape","Catch","TS","ER","Age3r","Age4r","Age5r","Age6r","Return","Age3b","Age4b","Age5b","Age6b","TR","Recruit"
"192","LB",1964,114401,11717,126119,0.09,"0.23","0.76","0.01","0.00",126118,"49578.96","98510.91","1163.07","0.00","149252.93",149252.933870398
"193","LB",1965,5529,245,5774,0.04,"0.36","0.62","0.02","0.00",5774,"19992.20","16075.09","2028.90","0.00","38096.20",38096.1956827962
"194","LB",1966,32342,1048,33390,0.03,"0.16","0.83","0.01","0.00",33390,"14438.84","196078.07","2480.79","0.00","212997.70",212997.699639711
"195","LB",1967,69242,9887,79129,0.12,"0.63","0.36","0.01","0.00",79129,"18469.03","10885.33","2198.85","0.00","31553.20",31553.1826070356
"196","LB",1968,93768,25336,119104,0.21,"0.17","0.83","0.01","0.00",119104,"9489.89","108511.93","35451.98","126.91","153580.70",153579.621131724
"197","LB",1969,24060,7617,31677,0.24,"0.46","0.51","0.04","0.00",31677,"8510.22","172757.67","9375.96","0.00","190643.86",190642.982887885
"198","LB",1970,157708,58868,216576,0.27,"0.09","0.91","0.01","0.00",216576,"5640.35","19631.82","924.50","0.00","26196.67",26196.6397400652
"199","LB",1971,20029,2827,22856,0.12,"0.42","0.48","0.11","0.00",22856,"7642.31","11241.04","361.74","0.00","19245.10",19245.1098239627
"200","LB",1972,83575,35646,119220,0.3,"0.07","0.91","0.02","0.00",119221,"15673.46","20933.28","832.28","0.00","37439.02",37439.8578717331
"201","LB",1973,131795,82055,213849,0.38,"0.03","0.81","0.17","0.00",213850,"3702.98","27904.02","618.57","0.00","32225.56",32225.708825953
"202","LB",1974,32431,4346,36777,0.12,"0.21","0.53","0.25","0.00",36777,"8797.70","25052.09","2346.96","0.00","36196.76",36196.7605758253
"203","LB",1975,21061,6778,27839,0.24,"0.56","0.40","0.03","0.00",27839,"4269.34","6562.10","159.85","0.00","10991.29",10991.288878948
"204","LB",1976,16592,8406,24999,0.34,"0.15","0.84","0.01","0.00",24998,"5087.94","15453.28","1576.73","0.00","22117.95",22117.9522587561
"205","LB",1977,34830,2704,37534,0.07,"0.23","0.74","0.02","0.00",37534,"6156.87","18678.06","5987.44","8.30","30830.67",30830.5940080363
"206","LB",1978,20754,9186,29940,0.31,"0.14","0.84","0.02","0.00",29940,"3264.21","53879.68","4811.93","41.20","61997.02",61996.2929017734
"207","LB",1979,13242,755,13997,0.05,"0.36","0.47","0.17","0.00",13997,"14440.88","10175.72","1057.34","0.00","25673.94",25673.7434626818
"208","LB",1980,17317,4453,21770,0.2,"0.28","0.71","0.01","0.00",21770,"3191.05","10702.36","1307.83","0.00","15201.23",15201.2339411699
"209","LB",1981,22810,709,23519,0.03,"0.14","0.79","0.07","0.00",23519,"11438.10","33344.22","4684.59","4.21","49471.12",49471.0315084462
"210","LB",1982,51325,22983,74307,0.31,"0.19","0.73","0.08","0.00",74308,"20422.95","42446.38","2659.77","464.11","65993.21",65992.4136205944
"211","LB",1983,17419,768,18187,0.04,"0.18","0.56","0.26","0.00",18187,"5946.03","15259.30","18041.22","61.87","39308.42",39308.3127301837
"212","LB",1984,22826,413,23239,0.02,"0.49","0.46","0.05","0.00",23239,"2151.72","103891.87","3829.77","113.09","109986.44",109986.441719948
"213","LB",1985,50660,4415,55075,0.08,"0.37","0.61","0.02","0.00",55075,"8863.07","10185.05","8995.29","25.79","28069.19",28069.1314636281
"214","LB",1986,40606,12471,53076,0.23,"0.11","0.80","0.09","0.00",53077,"1951.30","139258.77","7127.07","205.70","148542.84",148542.327400114
"215","LB",1987,19325,750,20075,0.04,"0.11","0.76","0.13","0.00",20075,"1722.86","7931.08","4422.51","149.16","14225.60",14226.0484977528
"216","LB",1988,92124,38756,130880,0.3,"0.07","0.79","0.14","0.00",130880,"2273.06","47688.27","7839.95","220.46","58021.74",58021.8701853787
"217","LB",1989,12588,3440,16028,0.21,"0.12","0.64","0.24","0.00",16028,"2030.52","21807.95","6127.37","436.10","30401.94",30401.943901273
"218","LB",1990,108495,41595,150089,0.28,"0.01","0.93","0.06","0.00",150090,"1387.94","15586.68","7184.27","113.97","24272.87",24272.8740215757
"219","LB",1991,15775,1582,17358,0.09,"0.13","0.46","0.41","0.00",17357,"2379.48","19681.10","1399.58","6.30","23466.45",23466.4534260022
"220","LB",1992,39417,14930,54347,0.27,"0.04","0.88","0.08","0.00",54347,"6920.53","11271.81","407.65","47.19","18647.17",18647.1741857644
"221","LB",1993,23703,7482,31185,0.24,"0.04","0.70","0.25","0.00",31185,"3949.64","7172.68","2967.81","16.28","14106.41",14106.4121801743
"222","LB",1994,17778,6536,24314,0.27,"0.10","0.64","0.25","0.01",24314,"1195.94","50512.23","1658.20","27.59","53393.96",53393.7552646809
"223","LB",1995,28052,6170,34222,0.18,"0.20","0.58","0.21","0.01",34222,"7476.77","5523.57","341.29","0.00","13341.63",13340.961031003
"224","LB",1996,15015,1720,16735,0.1,"0.24","0.67","0.08","0.01",16735,"1036.95","4842.18","1581.82","0.00","7460.95",7460.82816457337
"225","LB",1997,8275,509,8784,0.06,"0.14","0.82","0.05","0.00",8784,"571.94","37081.84","7108.85","24.33","44786.95",44786.8286321583
"226","LB",1998,46260,14744,61004,0.24,"0.12","0.83","0.05","0.00",61004,"15323.34","38212.46","830.17","64.70","54430.66",54429.9882603038
"227","LB",1999,7811,424,8234,0.05,"0.13","0.67","0.20","0.00",8235,"11270.70","15572.01","5049.79","337.73","32230.23",32230.0278061455
"228","LB",2000,4821,962,5783,0.17,"0.10","0.84","0.06","0.00",5783,"1897.49","13246.89","3051.80","0.00","18196.17",18196.1721292074
"229","LB",2001,50292,3695,53987,0.07,"0.28","0.69","0.03","0.00",53987,"3571.32","18222.35","593.80","0.00","22387.48",22387.4347701244
"230","LB",2002,49199,7393,56591,0.13,"0.20","0.68","0.13","0.00",56592,"3247.13","11470.54","2740.70","30.01","17488.37",17487.5781553953
"231","LB",2003,15001,3323,18324,0.18,"0.10","0.85","0.05","0.00",18324,"2418.66","24666.32","3518.71","112.65","30716.33",30716.1654806872
"232","LB",2004,17462,4406,21868,0.2,"0.16","0.61","0.23","0.00",21868,"1153.98","11949.34","2371.21","0.00","15474.53",15474.5293856113
"233","LB",2005,18235,6624,24859,0.27,"0.13","0.73","0.12","0.01",24859,"10118.94","41121.65","836.10","62.20","52138.89",52139.101631792
"234","LB",2006,11145,3338,14482,0.23,"0.17","0.79","0.04","0.00",14483,"1691.50","2238.33","1463.05","0.00","5392.89",5393.44759041315
"235","LB",2007,25407,3154,28561,0.11,"0.04","0.86","0.10","0.00",28561,"905.56","80165.81","9495.27","NA","NA",NA
"236","LB",2008,22884,2733,25617,0.11,"0.40","0.47","0.14","0.00",25617,"1473.94","13977.09","NA","NA","NA",NA
"237","LB",2009,39720,5577,45297,0.12,"0.04","0.91","0.05","0.00",45297,"4402.95","NA","NA","NA","NA",NA
"238","LB",2010,3804,176,3981,0.04,"0.23","0.56","0.21","0.00",3980,"NA","NA","NA","NA","NA",NA
"239","LB",2011,70411,12754,83165,0.15,"0.02","0.96","0.02","0.00",83165,"NA","NA","NA","NA","NA",NA
"240","LB",2012,34100,2748,36848,0.07,"0.12","0.38","0.26","0.00",36848,"NA","NA","NA","NA","NA",NA
"241","BI",1953,25500,25791,51291,0.5,"NA","NA","NA","NA",51291,"NA","NA","0.00","0.00","NA",NA
"242","BI",1954,18000,17434,35434,0.49,"NA","NA","NA","NA",35434,"NA","17860.30","536.05","0.00","18396.36",NA
"243","BI",1955,7950,4931,12881,0.38,"NA","NA","NA","NA",12881,"13738.70","15506.55","87.90","0.00","29333.15",29333.1507474431
"244","BI",1956,4850,4180,9030,0.46,"NA","NA","NA","NA",9030,"7973.39","5674.66","212.11","0.00","13860.17",13860.1702117125
"245","BI",1957,89500,22931,112431,0.2,"NA","NA","NA","NA",112431,"3661.44","9623.75","161.80","0.00","13446.99",13446.9853029505
"246","BI",1958,20750,10849,31599,0.34,"0.43","0.57","0.00","0.00",31599,"1222.13","1853.76","59.29","0.00","3135.19",3135.18953348645
"247","BI",1959,16150,7866,24016,0.33,"0.33","0.65","0.02","0.00",24016,"7758.44","7494.60","181.74","0.00","15434.78",15434.7815421021
"248","BI",1960,5600,3824,9424,0.41,"0.39","0.60","0.01","0.00",9424,"4044.11","19978.85","65.97","0.00","24088.93",24088.9309870097
"249","BI",1961,8150,2908,11058,0.26,"0.11","0.87","0.02","0.00",11058,"5982.41","1728.53","186.64","0.00","7897.57",7897.57004385769
"250","BI",1962,8500,1274,9774,0.13,"0.79","0.19","0.02","0.00",9774,"997.50","10436.42","181.60","0.00","11615.52",11615.5234744107
"251","BI",1963,8150,3448,11598,0.3,"0.35","0.65","0.01","0.00",11598,"1950.94","4822.89","131.47","0.00","6905.30",6905.29840137561
"252","BI",1964,23446,2697,26143,0.1,"0.23","0.76","0.01","0.00",26143,"8396.51","21553.40","427.27","0.00","30377.18",30377.1784783798
"253","BI",1965,2662,130,2792,0.05,"0.36","0.62","0.02","0.00",2792,"4374.13","5905.42","159.54","0.00","10439.09",10439.0876201597
"254","BI",1966,12150,424,12574,0.03,"0.16","0.83","0.01","0.00",12574,"5304.31","15418.19","653.30","0.00","21375.80",21375.8049456918
"255","BI",1967,11275,2126,13401,0.16,"0.63","0.36","0.01","0.00",13401,"1452.27","2866.59","4520.97","0.00","8839.83",8839.83447550649
"256","BI",1968,19146,6913,26059,0.27,"0.17","0.83","0.01","0.00",26059,"2499.11","223107.46","13926.82","177.22","239710.61",239710.612481206
"257","BI",1969,7999,3638,11637,0.31,"0.46","0.51","0.04","0.00",11637,"17497.57","67865.45","13093.26","0.00","98456.28",98456.5309186022
"258","BI",1970,11225,5805,17030,0.34,"0.09","0.91","0.01","0.00",17030,"2215.73","27415.26","339.63","0.00","29970.62",29971.1508488904
"259","BI",1971,5194,825,6019,0.14,"0.42","0.48","0.11","0.00",6019,"10672.26","4129.54","385.43","0.00","15187.23",15187.4352825737
"260","BI",1972,155824,89302,245126,0.36,"0.07","0.91","0.02","0.00",245126,"5757.84","22304.10","2138.77","0.00","30200.71",30200.7127781049
"261","BI",1973,44150,39858,84008,0.47,"0.03","0.81","0.17","0.00",84008,"3945.47","71707.09","5819.51","0.00","81472.07",81472.066035414
"262","BI",1974,43718,7640,51359,0.15,"0.21","0.53","0.25","0.00",51358,"22608.14","235690.51","6504.32","0.00","264802.97",264802.965535094
"263","BI",1975,7272,2955,10227,0.29,"0.56","0.40","0.03","0.00",10227,"40165.98","18186.07","1460.87","0.00","59812.92",59812.91977049
"264","BI",1976,15582,11053,26635,0.41,"0.15","0.84","0.01","0.00",26635,"14100.61","141224.65","9119.44","0.00","164444.70",164444.765683748
"265","BI",1977,88300,8154,96454,0.08,"0.23","0.74","0.02","0.00",96454,"56266.48","108029.21","26670.10","40.95","191006.75",191007.465257412
"266","BI",1978,176600,105076,281676,0.37,"0.14","0.84","0.02","0.00",281676,"18879.35","239998.34","23735.28","197.65","282810.63",282810.047720437
"267","BI",1979,36359,2432,38791,0.06,"0.36","0.47","0.17","0.00",38791,"64324.55","50192.64","5072.55","0.00","119589.75",119589.597821066
"268","BI",1980,148484,50468,198952,0.25,"0.28","0.71","0.01","0.00",198952,"15740.12","51344.05","2084.50","0.00","69168.67",69169.130115456
"269","BI",1981,131151,4877,136029,0.04,"0.14","0.79","0.07","0.00",136028,"54873.75","53146.11","34156.30","18.09","142194.25",142194.742771641
"270","BI",1982,207765,123228,330992,0.37,"0.19","0.73","0.08","0.00",330993,"32551.38","309485.01","11434.43","644.48","354115.31",354115.306231737
"271","BI",1983,85517,4192,89709,0.05,"0.18","0.56","0.26","0.00",89709,"43353.69","65600.17","25052.32","120.93","134127.10",134127.103960832
"272","BI",1984,109076,2412,111489,0.02,"0.49","0.46","0.05","0.00",111488,"9250.30","144265.86","7484.87","14.33","161015.36",161015.361069492
"273","BI",1985,79470,8312,87782,0.09,"0.37","0.61","0.02","0.00",87782,"12307.39","19905.58","1139.62","75.12","33427.71",33427.7091691788
"274","BI",1986,274392,112603,386995,0.29,"0.11","0.80","0.09","0.00",386995,"3813.61","17642.78","20759.95","1114.65","43331.00",43331.0026509064
"275","BI",1987,82586,3717,86303,0.04,"0.11","0.76","0.13","0.00",86303,"218.27","23101.89","23964.66","1367.19","48652.01",48652.0926712213
"276","BI",1988,112712,69030,181742,0.38,"0.07","0.79","0.14","0.00",181742,"6621.05","258412.73","71862.78","1443.25","338339.80",338340.680541342
"277","BI",1989,22854,8471,31325,0.27,"0.12","0.64","0.24","0.00",31325,"11002.96","199896.81","40112.69","977.27","251989.74",251989.772942164
"278","BI",1990,12466,6549,19015,0.34,"0.01","0.93","0.06","0.00",19015,"12722.22","102037.83","16099.64","191.15","131050.84",131050.843470356
"279","BI",1991,44934,5624,50558,0.11,"0.13","0.46","0.41","0.00",50558,"15577.23","44104.47","2347.29","21.37","62050.37",62050.3688424046
"280","BI",1992,197376,97119,294496,0.33,"0.04","0.88","0.08","0.00",294495,"15508.61","18904.44","1383.89","23.68","35820.61",35820.5679941399
"281","BI",1993,200493,85356,285849,0.3,"0.04","0.70","0.25","0.00",285849,"6624.12","24349.88","1489.26","21.88","32485.13",32484.3664991469
"282","BI",1994,106479,52692,159171,0.33,"0.10","0.64","0.25","0.01",159171,"4059.98","25347.20","2228.25","61.37","31696.79",31697.482267342
"283","BI",1995,59213,17477,76690,0.23,"0.20","0.58","0.21","0.01",76690,"3751.87","7422.44","759.13","0.00","11933.43",11933.557298002
"284","BI",1996,24572,3495,28067,0.12,"0.24","0.67","0.08","0.01",28067,"1393.43","10770.36","1651.03","0.00","13814.82",13814.8194759965
"285","BI",1997,27798,2022,29819,0.07,"0.14","0.82","0.05","0.00",29820,"1272.14","38704.22","8950.25","59.99","48986.60",48986.5971014605
"286","BI",1998,20686,9926,30613,0.32,"0.12","0.83","0.05","0.00",30612,"15993.76","48110.61","2046.65","4.96","66155.97",66155.9266603978
"287","BI",1999,10392,674,11066,0.06,"0.13","0.67","0.20","0.00",11066,"14190.14","38390.40","386.79","1161.97","54129.30",54128.4411241887
"288","BI",2000,10343,2520,12863,0.2,"0.10","0.84","0.06","0.00",12863,"4677.96","1014.66","10499.78","0.00","16192.40",16192.1745089825
"289","BI",2001,51716,4633,56349,0.08,"0.28","0.69","0.03","0.00",56349,"273.55","62694.44","2739.54","0.00","65707.52",65706.7891106844
"290","BI",2002,58772,12479,71251,0.18,"0.20","0.68","0.13","0.00",71251,"11171.81","52919.86","59.02","77.90","64228.58",64228.4492100772
"291","BI",2003,34501,10674,45174,0.24,"0.10","0.85","0.05","0.00",45175,"11158.61","531.14","9134.19","221.99","21045.92",21045.9213185857
"292","BI",2004,1248,427,1675,0.26,"0.16","0.61","0.23","0.00",1675,"24.85","31019.22","4672.95","0.00","35717.01",35716.9624873723
"293","BI",2005,55208,30320,85527,0.35,"0.13","0.73","0.12","0.01",85528,"26267.70","81038.61","7266.54","63.86","114636.71",114635.804003336
"294","BI",2006,46867,19951,66818,0.3,"0.17","0.79","0.04","0.00",66818,"3333.45","19453.26","1502.12","0.00","24288.83",24288.7926392212
"295","BI",2007,507,108,615,0.18,"0.04","0.86","0.10","0.00",615,"7870.20","82306.71","31143.34","NA","NA",NA
"296","BI",2008,56761,9738,66499,0.15,"0.40","0.47","0.14","0.00",66499,"1513.31","45843.18","NA","NA","NA",NA
"297","BI",2009,73885,15382,89266,0.17,"0.04","0.91","0.05","0.00",89267,"14441.14","NA","NA","NA","NA",NA
"298","BI",2010,32671,1919,34590,0.06,"0.23","0.56","0.21","0.00",34590,"NA","NA","NA","NA","NA",NA
"299","BI",2011,68776,16610,85386,0.19,"0.02","0.96","0.02","0.00",85386,"NA","NA","NA","NA","NA",NA
"300","BI",2012,108436,12421,120857,0.1,"0.12","0.38","0.26","0.00",120857,"NA","NA","NA","NA","NA",NA
"301","GS",1953,422714,1287903,1710617,0.75,"NA","NA","NA","NA",1710617,"NA","NA","0.00","0.00","NA",NA
"302","GS",1954,536506,1639953,2176459,0.75,"NA","NA","NA","NA",2176459,"NA","730549.70","20818.91","0.00","751368.60",NA
"303","GS",1955,253856,321058,574914,0.56,"NA","NA","NA","NA",574914,"561961.30","602234.23","5957.86","0.00","1170153.39",1170152.95727777
"304","GS",1956,241021,335395,576417,0.58,"NA","NA","NA","NA",576416,"309665.86","384622.20","7664.61","0.00","701952.67",701952.670270429
"305","GS",1957,453222,222180,675402,0.33,"NA","NA","NA","NA",675402,"248167.94","347748.37","7206.53","0.00","603122.84",603122.838144255
"306","GS",1958,563100,729411,1292510,0.56,"0.43","0.57","0.00","0.00",1292511,"44161.02","82567.77","2096.45","0.00","128825.25",128825.245186155
"307","GS",1959,419179,513540,932719,0.55,"0.33","0.65","0.02","0.00",932719,"345565.70","264990.14","2133.61","0.00","612689.45",612689.449009163
"308","GS",1960,288076,350672,638748,0.55,"0.39","0.60","0.01","0.00",638748,"142989.41","234547.28","3955.89","0.00","381492.58",381492.581106044
"309","GS",1961,223600,175974,399574,0.44,"0.11","0.87","0.02","0.00",399574,"70232.11","103648.43","6648.02","0.00","180528.57",180528.570083114
"310","GS",1962,295329,140011,435340,0.32,"0.79","0.19","0.02","0.00",435340,"59813.67","371744.64","4874.01","0.00","436432.33",436432.325322306
"311","GS",1963,257365,152711,410076,0.37,"0.35","0.65","0.01","0.00",410076,"69492.33","129443.52","4965.89","0.00","203901.75",203901.740219726
"312","GS",1964,262048,44865,306913,0.15,"0.23","0.76","0.01","0.00",306913,"225357.47","814117.77","29593.91","0.00","1069069.14",1069068.31717171
"313","GS",1965,152457,14961,167418,0.09,"0.36","0.62","0.02","0.00",167418,"165220.34","409026.05","8375.68","0.00","582622.07",582621.903249172
"314","GS",1966,419988,27897,447885,0.06,"0.16","0.83","0.01","0.00",447885,"367392.05","809446.74","38729.01","0.00","1215567.80",1215567.79522512
"315","GS",1967,289106,70569,359675,0.2,"0.63","0.36","0.01","0.00",359675,"76243.58","169937.00","28106.21","0.00","274286.79",274286.808287631
"316","GS",1968,675623,308681,984303,0.31,"0.17","0.83","0.01","0.00",984304,"148151.99","1387026.01","327067.49","2405.24","1864650.73",1864651.63945978
"317","GS",1969,487079,318933,806012,0.4,"0.46","0.51","0.04","0.00",806012,"108779.78","1593801.62","177699.73","0.00","1880281.12",1880281.19556761
"318","GS",1970,478269,415797,894066,0.47,"0.09","0.91","0.01","0.00",894066,"52035.89","372075.74","19621.72","0.00","443733.35",443733.351141717
"319","GS",1971,294410,62408,356818,0.17,"0.42","0.48","0.11","0.00",356818,"144842.30","238582.36","10201.28","0.00","393625.93",393625.934624858
"320","GS",1972,633121,890791,1523913,0.58,"0.07","0.91","0.02","0.00",1523912,"332656.92","590326.43","12909.33","0.00","935892.67",935892.692867469
"321","GS",1973,618529,1354376,1972905,0.69,"0.03","0.81","0.17","0.00",1972905,"104425.30","432814.09","27466.31","0.00","564705.69",564706.434800922
"322","GS",1974,520005,177018,697023,0.25,"0.21","0.53","0.25","0.00",697023,"136459.59","1112387.47","69682.12","0.00","1318529.19",1318529.42049032
"323","GS",1975,334373,256488,590861,0.43,"0.56","0.40","0.03","0.00",590861,"189571.22","194831.11","6974.65","0.00","391376.99",391376.985436924
"324","GS",1976,295437,409516,704953,0.58,"0.15","0.84","0.01","0.00",704953,"151062.76","674252.01","42665.89","0.00","867980.67",867980.670274307
"325","GS",1977,515680,66503,582184,0.11,"0.23","0.74","0.02","0.00",582183,"268634.33","505421.81","114479.78","350.93","888886.84",888886.843051828
"326","GS",1978,669535,659890,1329425,0.5,"0.14","0.84","0.02","0.00",1329425,"88328.30","1030178.06","203380.66","1560.48","1323447.50",1323447.49611217
"327","GS",1979,373298,42278,415576,0.1,"0.36","0.47","0.17","0.00",415576,"276109.16","430085.97","40048.23","0.00","746243.36",746243.359214187
"328","GS",1980,586193,363668,949861,0.38,"0.28","0.71","0.01","0.00",949861,"134872.44","405365.50","45653.03","0.00","585890.97",585890.971840667
"329","GS",1981,537317,99099,636416,0.16,"0.14","0.79","0.07","0.00",636416,"433232.80","1163960.52","151152.67","247.04","1748593.03",1748593.03013294
"330","GS",1982,600443,820324,1420767,0.58,"0.19","0.73","0.08","0.00",1420767,"712912.45","1369571.25","156154.61","5462.16","2244100.48",2244100.47304727
"331","GS",1983,596357,172333,768690,0.22,"0.18","0.56","0.26","0.00",768690,"191854.08","895870.35","212327.56","2620.18","1302672.16",1302672.02693753
"332","GS",1984,689496,190711,880207,0.22,"0.49","0.46","0.05","0.00",880207,"126327.00","1222705.97","162176.94","1230.75","1512440.66",1512439.86412436
"333","GS",1985,1083079,839447,1922526,0.44,"0.37","0.61","0.02","0.00",1922526,"104309.64","431300.17","97897.17","1880.01","635386.99",635386.92362449
"334","GS",1986,794236,918342,1712578,0.54,"0.11","0.80","0.09","0.00",1712578,"82630.72","1515575.94","519589.55","8675.26","2126471.46",2126471.46438238
"335","GS",1987,725488,453111,1178599,0.38,"0.11","0.76","0.13","0.00",1178599,"18750.14","578204.77","186515.10","12734.74","796204.75",796204.755292173
"336","GS",1988,693044,847286,1540329,0.55,"0.07","0.79","0.14","0.00",1540330,"165714.66","2011206.44","669366.51","19106.84","2865394.44",2865394.70398293
"337","GS",1989,336578,342150,678728,0.5,"0.12","0.64","0.24","0.00",678728,"85635.21","1861940.55","531043.89","7632.56","2486252.21",2486253.15961891
"338","GS",1990,715397,918057,1633454,0.56,"0.01","0.93","0.06","0.00",1633454,"118501.20","1350858.45","125738.88","3244.63","1598343.15",1598343.83462054
"339","GS",1991,665020,600369,1265389,0.47,"0.13","0.46","0.41","0.00",1265389,"206223.83","344457.70","39843.86","463.83","590989.22",590989.314370323
"340","GS",1992,823164,1468868,2292032,0.64,"0.04","0.88","0.08","0.00",2292032,"121122.86","320891.17","30029.75","2351.48","474395.27",474395.26514433
"341","GS",1993,1100668,1561875,2662544,0.59,"0.04","0.70","0.25","0.00",2662543,"112440.34","528381.78","147892.50","1246.02","789960.64",789960.642134206
"342","GS",1994,875682,1231551,2107234,0.58,"0.10","0.64","0.25","0.01",2107233,"88099.72","2517137.58","126896.18","1251.59","2733385.07",2733385.06904746
"343","GS",1995,407104,191848,598952,0.32,"0.20","0.58","0.21","0.01",598952,"372584.44","422698.62","15482.84","0.00","810765.89",810765.892840323
"344","GS",1996,390290,86130,476420,0.18,"0.24","0.67","0.08","0.01",476420,"79354.18","219667.51","33373.93","0.00","332395.61",332395.611605137
"345","GS",1997,565829,81252,647081,0.13,"0.14","0.82","0.05","0.00",647081,"25946.07","782369.32","210226.36","1505.42","1020047.16",1020047.28179152
"346","GS",1998,1218132,1821834,3039966,0.6,"0.12","0.83","0.05","0.00",3039966,"323298.76","1130037.96","51358.45","4532.53","1509227.70",1509228.37759766
"347","GS",1999,529304,100891,630195,0.16,"0.13","0.67","0.20","0.00",630195,"333302.68","963367.45","353770.03","14538.91","1664979.06",1664979.4935515
"348","GS",2000,204760,57588,262348,0.22,"0.10","0.84","0.06","0.00",262348,"117388.68","928029.70","131376.02","0.00","1176794.39",1176795.00019356
"349","GS",2001,895600,243442,1139042,0.21,"0.28","0.69","0.03","0.00",1139042,"250194.28","784449.39","50677.15","0.00","1085320.81",1085320.97259077
"350","GS",2002,891994,781573,1673568,0.47,"0.20","0.68","0.13","0.00",1673567,"139784.69","978934.18","81362.99","710.68","1200792.54",1200792.53632148
"351","GS",2003,756891,376729,1133620,0.33,"0.10","0.85","0.05","0.00",1133620,"206416.68","732266.91","83336.26","1765.86","1023785.70",1023785.56244875
"352","GS",2004,935793,596201,1531995,0.39,"0.16","0.61","0.23","0.00",1531994,"34258.10","283005.39","37171.75","0.00","354435.24",354434.775085241
"353","GS",2005,593178,476971,1070149,0.45,"0.13","0.73","0.12","0.01",1070149,"239654.68","644634.95","70657.52","1206.64","956153.77",956153.377747095
"354","GS",2006,719988,516040,1236028,0.42,"0.17","0.79","0.04","0.00",1236028,"26516.44","189157.23","28383.48","0.00","244057.15",244057.150506325
"355","GS",2007,631634,216254,847888,0.26,"0.04","0.86","0.10","0.00",847888,"76527.26","1555232.09","292224.58","NA","NA",NA
"356","GS",2008,485153,121554,606706,0.2,"0.40","0.47","0.14","0.00",606707,"28594.79","430156.35","NA","NA","NA",NA
"357","GS",2009,516986,193103,710089,0.27,"0.04","0.91","0.05","0.00",710089,"135504.32","NA","NA","NA","NA",NA
"358","GS",2010,314511,21831,336342,0.06,"0.23","0.56","0.21","0.00",336342,"NA","NA","NA","NA","NA",NA
"359","GS",2011,827665,785752,1613417,0.49,"0.02","0.96","0.02","0.00",1613417,"NA","NA","NA","NA","NA",NA
"360","GS",2012,871436,262591,1134027,0.23,"0.12","0.38","0.26","0.00",1134027,"NA","NA","NA","NA","NA",NA
"361","HSBI",1953,40317,208065,248382,0.84,"NA","NA","NA","NA",248382,"NA","NA","NA","NA","NA",NA
"362","HSBI",1954,97875,349391,447266,0.78,"NA","NA","NA","NA",447266,"NA","130060.48","10817.31","0.00","NA",NA
"363","HSBI",1955,42058,86331,128389,0.67,"NA","NA","NA","NA",128389,"100046.52","312915.23","1568.92","0.00","414530.67",414530.665254054
"364","HSBI",1956,21035,37456,58491,0.64,"NA","NA","NA","NA",58491,"160899.46","101284.66","1689.26","0.00","263873.39",263873.38660236
"365","HSBI",1957,113248,44216,157464,0.28,"NA","NA","NA","NA",157464,"65351.42","76642.77","1836.33","0.00","143830.52",143830.523277591
"366","HSBI",1958,125146,104961,230107,0.46,"0.43","0.57","0.00","0.00",230107,"9732.97","21039.48","543.47","0.00","31315.92",31315.9158821714
"367","HSBI",1959,259231,225401,484632,0.47,"0.33","0.65","0.02","0.00",484632,"88055.20","68694.69","539.04","0.00","157288.93",157288.926033797
"368","HSBI",1960,85842,82363,168205,0.49,"0.39","0.60","0.01","0.00",168205,"37067.84","59257.17","756.76","0.00","97081.77",97081.772808593
"369","HSBI",1961,50758,37307,88065,0.42,"0.11","0.87","0.02","0.00",88065,"17743.78","19827.91","731.56","0.00","38303.25",38303.235107275
"370","HSBI",1962,80825,30106,110931,0.27,"0.79","0.19","0.02","0.00",110931,"11442.33","40907.39","1133.24","0.00","53482.97",53482.1350765527
"371","HSBI",1963,68693,37613,106306,0.35,"0.35","0.65","0.01","0.00",106306,"7647.05","30096.54","1305.17","0.00","39048.76",39048.607716521
"372","HSBI",1964,61283,16257,77540,0.21,"0.23","0.76","0.01","0.00",77540,"52397.22","213971.58","6540.52","0.00","272909.32",272910.182857683
"373","HSBI",1965,25911,6116,32027,0.19,"0.36","0.62","0.02","0.00",32027,"43424.25","90398.49","3020.92","0.00","136843.66",136844.330777824
"374","HSBI",1966,43443,5843,49285,0.12,"0.16","0.83","0.01","0.00",49286,"81196.99","291948.78","8717.60","0.00","381863.38",381863.833546055
"375","HSBI",1967,64552,19075,83627,0.23,"0.63","0.36","0.01","0.00",83627,"27499.30","38251.52","15675.48","0.00","81426.30",81426.3221176521
"376","HSBI",1968,179700,79001,258702,0.31,"0.17","0.83","0.01","0.00",258701,"33347.88","773576.52","146005.28","940.97","953870.65",953871.560038138
"377","HSBI",1969,111330,66806,178137,0.38,"0.46","0.51","0.04","0.00",178136,"60669.00","711484.52","69519.35","0.00","841672.87",841672.938558838
"378","HSBI",1970,184335,138134,322469,0.43,"0.09","0.91","0.01","0.00",322469,"23229.20","145562.76","5131.77","0.00","173923.72",173923.724939218
"379","HSBI",1971,61303,19014,80317,0.24,"0.42","0.48","0.11","0.00",80317,"56664.93","62397.71","5302.77","0.00","124365.41",124365.391059893
"380","HSBI",1972,467906,382015,849922,0.45,"0.07","0.91","0.02","0.00",849921,"87001.52","306860.41","5044.34","0.00","398906.27",398905.437320974
