"","Year","CU","Escape"
"437",1993,"HSBI",150672.890235683
"438",1994,"HSBI",302642.664564488
"439",1995,"HSBI",127200.543977456
"440",1996,"HSBI",197476.664558616
"441",1997,"HSBI",288376.536308182
"442",1998,"HSBI",118133.593925185
"443",1999,"HSBI",73471.2684717445
"444",2000,"HSBI",332256.974135124
"445",2001,"HSBI",569200.926650207
"446",2002,"HSBI",590726.351215124
"447",2003,"HSBI",678096.314110473
"448",2004,"HSBI",1281002.51896542
"449",2005,"HSBI",317754.455596772
"450",2006,"HSBI",45784.5709515665
"451",2007,"HSBI",629834.864514556
"452",2008,"HSBI",460224.524520474
"453",2009,"HSBI",714738.714294067
"454",2010,"HSBI",232235.088934254
"455",2011,"HSBI",234799.35053947
"456",2012,"HSBI",957288.83100147
"457",2013,"HSBI",1156349.29224951
"458",2014,"HSBI",289893.760783418
"459",2015,"HSBI",449469.236131659
"460",2016,"HSBI",1400246.3838953
"461",2017,"HSBI",246866.20749447
"462",2018,"HSBI",116083.142755723
