"","CU_Name","Year","GroupEsc","SumRawEsc"
"260","4 - Loughborough","2014",10476.2420664529,2045
"261","4 - Loughborough","2015",16801.6399360779,3038
"262","4 - Loughborough","2016",19472.2332339919,3723
"263","4 - Loughborough","2017",9463.72202527991,1609
"264","4 - Loughborough","2018",9569.59337174047,1627
"265","5 - Bute Inlet","1953",25500,25500
"266","5 - Bute Inlet","1954",18000,18000
"267","5 - Bute Inlet","1955",7950,7950
"268","5 - Bute Inlet","1956",4850,4850
"269","5 - Bute Inlet","1957",89500,89500
"270","5 - Bute Inlet","1958",20750,20750
"271","5 - Bute Inlet","1959",16150,16150
"272","5 - Bute Inlet","1960",5600,5600
"273","5 - Bute Inlet","1961",8150,8150
"274","5 - Bute Inlet","1962",8500,8500
"275","5 - Bute Inlet","1963",8150,8150
"276","5 - Bute Inlet","1964",23446.1842477849,22900
"277","5 - Bute Inlet","1965",2662.01218533802,2600
"278","5 - Bute Inlet","1966",12150,12150
"279","5 - Bute Inlet","1967",11275,11275
"280","5 - Bute Inlet","1968",19146.0107176235,18700
"281","5 - Bute Inlet","1969",7998.94149773577,7700
"282","5 - Bute Inlet","1970",11225,11225
"283","5 - Bute Inlet","1971",5194.11785567258,5000
"284","5 - Bute Inlet","1972",155823.535670177,150000
"285","5 - Bute Inlet","1973",44150.0017732169,42500
"286","5 - Bute Inlet","1974",43718.4308899744,42700
"287","5 - Bute Inlet","1975",7271.76499794161,7000
"288","5 - Bute Inlet","1976",15582.3535670177,15000
"289","5 - Bute Inlet","1977",88300.0035464338,85000
"290","5 - Bute Inlet","1978",176600.007092868,170000
"291","5 - Bute Inlet","1979",36358.824989708,35000
"292","5 - Bute Inlet","1980",148483.968145633,145025
"293","5 - Bute Inlet","1981",131151.475855733,126250
"294","5 - Bute Inlet","1982",207764.714226903,200000
"295","5 - Bute Inlet","1983",85517.1414539839,83525
"296","5 - Bute Inlet","1984",109076.474969124,105000
"297","5 - Bute Inlet","1985",79470.0031917904,76500
"298","5 - Bute Inlet","1986",274392.025257919,268000
"299","5 - Bute Inlet","1987",82586.473905194,79500
"300","5 - Bute Inlet","1988",112712.357468095,108500
"301","5 - Bute Inlet","1989",22854.1185649593,22000
"302","5 - Bute Inlet","1990",12465.8828536142,12000
"303","5 - Bute Inlet","1991",44934.1556099485,8500
"304","5 - Bute Inlet","1992",197376.478515558,190000
"305","5 - Bute Inlet","1993",200492.949228961,193000
"306","5 - Bute Inlet","1994",106479.416041288,102500
"307","5 - Bute Inlet","1995",59212.9435546674,57000
"308","5 - Bute Inlet","1996",24572.420172351,24000
"309","5 - Bute Inlet","1997",27797.550319972,27150
"310","5 - Bute Inlet","1998",20686.2217012129,16000
"311","5 - Bute Inlet","1999",10392.0860312234,10150
"312","5 - Bute Inlet","2000",10343.1108506064,8000
"313","5 - Bute Inlet","2001",51715.5542530322,40000
"314","5 - Bute Inlet","2002",58772.1416308584,45458
"315","5 - Bute Inlet","2003",34500.7391310541,26685
"316","5 - Bute Inlet","2004",1247.5836145821,236
"317","5 - Bute Inlet","2005",NA,0
"318","5 - Bute Inlet","2006",NA,0
"319","5 - Bute Inlet","2007",507.491639830007,96
"320","5 - Bute Inlet","2008",NA,0
"321","5 - Bute Inlet","2009",NA,0
"322","5 - Bute Inlet","2010",NA,0
"323","5 - Bute Inlet","2011",NA,0
"324","5 - Bute Inlet","2012",NA,0
"325","5 - Bute Inlet","2013",NA,0
"326","5 - Bute Inlet","2014",NA,0
"327","5 - Bute Inlet","2015",NA,0
"328","5 - Bute Inlet","2016",NA,0
"329","5 - Bute Inlet","2017",NA,0
"330","5 - Bute Inlet","2018",NA,0
"331","6 - Georgia Strait","1953",321123.433367255,306375
"332","6 - Georgia Strait","1954",438337.387169206,414750
"333","6 - Georgia Strait","1955",148885.47655645,142300
"334","6 - Georgia Strait","1956",177436.16981404,170626
"335","6 - Georgia Strait","1957",351513.078410943,338400
"336","6 - Georgia Strait","1958",463161.574440395,445925
"337","6 - Georgia Strait","1959",275466.278738131,264175
"338","6 - Georgia Strait","1960",141979.405980101,135875
"339","6 - Georgia Strait","1961",159784.233205332,153354
"340","6 - Georgia Strait","1962",191058.213813986,183652
"341","6 - Georgia Strait","1963",110866.762639084,106600
"342","6 - Georgia Strait","1964",157220.332747594,151175
"343","6 - Georgia Strait","1965",118081.190636335,113950
"344","6 - Georgia Strait","1966",298157.425492802,286950
"345","6 - Georgia Strait","1967",186573.198925457,179757
"346","6 - Georgia Strait","1968",392174.618763489,378448
"347","6 - Georgia Strait","1969",283572.499587204,273705
"348","6 - Georgia Strait","1970",209709.828423617,202856
"349","6 - Georgia Strait","1971",137644.187245569,132444
"350","6 - Georgia Strait","1972",445521.46540075,429929
"351","6 - Georgia Strait","1973",322424.486550474,310684
"352","6 - Georgia Strait","1974",314095.86027325,300241
"353","6 - Georgia Strait","1975",160790.299576913,155456
"354","6 - Georgia Strait","1976",144202.38204098,139355
"355","6 - Georgia Strait","1977",335393.904861273,320199
"356","6 - Georgia Strait","1978",399041.325772582,373250
"357","6 - Georgia Strait","1979",183374.832861914,172337
"358","6 - Georgia Strait","1980",370157.54587718,350659
"359","6 - Georgia Strait","1981",337493.538509019,324142
"360","6 - Georgia Strait","1982",342253.833976414,331025
"361","6 - Georgia Strait","1983",315771.270019691,304072
"362","6 - Georgia Strait","1984",405823.314233125,391950
"363","6 - Georgia Strait","1985",584246.714324838,552294
