"stk","alpha","beta","sigma","gamma","Sgen"
1,2.68520759188007,9.31621396622055e-05,0.323954296937755,0.448290966329214,1827.04159196429
2,2.58635057251453,0.000213966682803341,0.609182686938389,0.448290966329214,132.833719426181
3,2.69699476130198,0.000101103448207939,0.635049053126527,0.448290966329214,2444.32472304697
4,3.10423555249117,8.36276767205857e-05,0.505298659505107,0.448290966329214,1966.68361305707
5,2.52651156154395,5.28253494612882e-05,0.640301574666207,0.448290966329214,4002.85147603044
1,2.08677414936901,0.000139846916305879,0.855295174065778,0.273758645159493,1614.22068515885
2,1.95134220617674,0.000348857213906849,0.699650718659867,0.273758645159493,148.922539109843
3,2.13436548469002,0.000126134474402437,0.625572333148752,0.273758645159493,1444.7426623654
4,1.93807604764294,5.84105908274673e-05,0.457349586616081,0.273758645159493,3348.54411952827
5,1.89925298092849,5.63712379004603e-05,0.587169527835568,0.273758645159493,3227.06871141974
1,2.1350991672337,7.76274473658381e-05,0.35911961697002,0.336091074295429,2605.10011762921
2,2.29680856822012,0.000318825714739469,0.532375295288648,0.336091074295429,261.946549904114
3,2.69090622705941,0.000164252309770053,0.699527851865564,0.336091074295429,1127.26238628628
4,3.03216129736303,0.000110019623717743,0.516975605432545,0.336091074295429,1300.59983436508
5,1.56940144518369,3.14382395492495e-05,0.675573070546987,0.336091074295429,1605.74449422916
1,2.32845191018763,0.000179872874209716,0.78824313551449,0.283661966564674,808.292212450461
2,2.29615010118607,0.000373686024343013,0.765494886259107,0.283661966564674,226.151974630048
3,1.85138098066603,0.000100510733289583,0.545144624553516,0.283661966564674,2167.24061154345
4,2.12950560111032,6.20122307919057e-05,0.432796357947881,0.283661966564674,3807.9902173267
5,1.2328877272133,1.76038643294466e-05,0.792015013224036,0.283661966564674,15.4989304439372
1,1.87285112746784,0.000153501565361479,0.567812587606414,0.245277240491063,1160.85053378506
2,2.03240532237906,0.000312101705945836,0.942964619601643,0.245277240491063,779.305284264958
3,2.4036544103728,0.000156018952967414,0.679245065586106,0.245277240491063,998.613960830475
4,2.33982146394569,9.82402856683182e-05,0.452418952351748,0.245277240491063,2235.69175729963
5,1.06178794881131,2.53292561181783e-05,0.688622528566014,0.245277240491063,39.9786187793841
1,2.00215371498747,8.44722570044701e-05,0.465773522230398,0.317683777218132,1681.16280591453
2,3.18452184774636,0.000536466502794838,0.679184600501451,0.317683777218132,76.7962490921761
3,2.13389171732905,0.000112960212152714,0.543312728849758,0.317683777218132,1949.21851084049
4,2.65644427624634,0.000111200655716477,0.523611733190408,0.317683777218132,1952.52824026267
5,1.38031169411278,1.55762530898232e-05,0.680889616251171,0.317683777218132,21.7785639370016
1,2.61967635677151,9.03197190502685e-05,0.501049122504549,0.42032857090116,1444.93670268424
2,2.29972232433758,0.000131851535887522,0.628440922399393,0.42032857090116,1138.71518125672
3,2.84577699113555,0.000148211742271652,0.701792644959955,0.42032857090116,1048.71461154088
4,2.68348277852759,6.36246205688061e-05,0.429103173322166,0.42032857090116,3310.98312846144
5,1.91488818808295,5.14423040528103e-05,0.669853422670709,0.42032857090116,22.1935751463259
1,2.98504988006603,0.000112685091196894,0.599650502553748,0.467867492130415,1435.28584343475
2,2.58311090035467,0.00016481228473057,0.555518717447429,0.467867492130415,1092.23894044835
3,2.74003008002267,0.000127798141156295,0.539726726748194,0.467867492130415,1616.78126327249
4,2.65209508959179,5.48600540224738e-05,0.447303401469546,0.467867492130415,3235.73773781701
5,2.1036798917975,3.18691924846789e-05,0.683949539740917,0.467867492130415,16.3138721626922
1,2.47120477940609,0.000117621925331385,0.450514916731812,0.347642643381234,1708.5191791088
2,3.85596166970419,0.000595328948483512,0.81395645920304,0.347642643381234,181.42465936607
3,1.91178508301653,7.26198967301412e-05,0.737690470116979,0.347642643381234,1649.14402686035
4,2.24337987013527,4.78024105370379e-05,0.639429001305323,0.347642643381234,3807.37950335947
5,1.53310740450757,9.03171933502775e-06,0.749943709829604,0.347642643381234,18.765795554872
1,2.603648419067,0.000104891950297989,0.602768505778537,0.405746092055286,1804.99314550673
2,2.52856026669565,0.000283509927454102,0.638824783862781,0.405746092055286,162.983361809535
3,2.75117991879893,0.000144203455155338,0.535377658801692,0.405746092055286,932.226924317986
4,2.48661728315964,6.07050820672711e-05,0.381915661779048,0.405746092055286,3184.47726114366
