Return.Year,Conservation.Unit,Sub.Population,Tributary.Deme,WSP.2014.Data.Use.Categories,Total.Return,Total.Spawners,Natural.Returns
2011,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,35,33,35
2012,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,175.7777778,175.7777778,175.7777778
2013,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,210.4444444,210.4444444,210.4444444
2014,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,87.5,87.5,87.5
2015,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,8.063466867,8.063466867,8.063466867
2016,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,29.55555556,29.55555556,29.55555556
2017,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,38.2962963,38.2962963,38.2962963
2018,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,95.85185185,95.85185185,95.85185185
2019,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,72.44444444,72.44444444,72.44444444
2020,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,96,96,96
1998,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,20,20,20
1999,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,14,14,14
2000,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,7,7,7
2001,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,3,3,3
2002,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,19,19,19
2003,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,163,163,163
2004,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,66,66,66
2005,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,31,31,31
2006,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,142,142,142
2007,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,155,155,155
2008,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,33,33,33
2009,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,46,46,46
2010,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,6,6,6
2011,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,57,55,57
2012,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,107.6111111,107.6111111,107.6111111
2013,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,112,112,112
2014,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,97.16666667,97.16666667,97.16666667
2015,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,58.14814815,58.14814815,58.14814815
2016,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,237,237,237
2017,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,181.6296296,181.6296296,181.6296296
2018,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,254.1481481,254.1481481,254.1481481
2019,Middle_Fraser,Lower Middle Fraser,Seton R (Sp Channels),green,415.2592593,415.2592593,415.2592593
