"","BroodYear","Inlet_Name","Spawners","CU_Name","Inlet_ID","Recruits"
"111",2008,"Kyuquot",844,"WCVI Nootka & Kyuquot",1,NA
"112",2008,"Clayoquot",242,"WCVI South",2,NA
"113",2009,"Kyuquot",844,"WCVI Nootka & Kyuquot",1,NA
"114",2009,"Clayoquot",119,"WCVI South",2,NA
"115",2010,"Kyuquot",650,"WCVI Nootka & Kyuquot",1,NA
"116",2010,"Clayoquot",244,"WCVI South",2,NA
"117",2011,"Kyuquot",660,"WCVI Nootka & Kyuquot",1,NA
"118",2011,"Clayoquot",200,"WCVI South",2,NA
"119",2012,"Kyuquot",502,"WCVI Nootka & Kyuquot",1,NA
"120",2012,"Clayoquot",NA,"WCVI South",2,NA
"121",2013,"Kyuquot",989,"WCVI Nootka & Kyuquot",1,NA
"122",2013,"Clayoquot",662,"WCVI South",2,NA
"123",2014,"Kyuquot",936,"WCVI Nootka & Kyuquot",1,NA
"124",2014,"Clayoquot",370,"WCVI South",2,NA
"125",2015,"Kyuquot",2212,"WCVI Nootka & Kyuquot",1,NA
"126",2015,"Clayoquot",NA,"WCVI South",2,NA
"127",2016,"Kyuquot",1145,"WCVI Nootka & Kyuquot",1,NA
"128",2016,"Clayoquot",806,"WCVI South",2,NA
"129",2017,"Kyuquot",2440,"WCVI Nootka & Kyuquot",1,NA
"130",2017,"Clayoquot",970,"WCVI South",2,NA
"131",2018,"Kyuquot",1893,"WCVI Nootka & Kyuquot",1,NA
"132",2018,"Clayoquot",726,"WCVI South",2,NA
"133",2019,"Kyuquot",1693,"WCVI Nootka & Kyuquot",1,NA
"134",2019,"Clayoquot",401,"WCVI South",2,NA
"135",2020,"Kyuquot",1228,"WCVI Nootka & Kyuquot",1,NA
"136",2020,"Clayoquot",442,"WCVI South",2,NA
