"","z.value","Pr...z.2..","Mod","CU_ID","CU_Name","est_B","est_sigma","est_Smsy","est_Sgen","est_A","low_Sgen","up_Sgen","retroYr","BMmodel","LRPmodel","useGenMean","integratedModel"
"63",1.51363572308353,0.130118255546598,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,75021.0077120674,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"64",1.86532552451148,0.0621357894939411,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,NA,2992.0338952663,NA,-151.86048545194,6135.92827598453,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"65",4.52275584654612,0.00000610396359932031,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,NA,8534.49144866939,NA,4835.9492750594,12233.0336222794,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"66",1.1498654374859,0.250199298166717,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,NA,10023.8658858945,NA,-7062.2874115813,27110.0191833704,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"67",1.14701834188086,0.251374040410794,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,NA,68162.8513681183,NA,-48312.3468073859,184638.049543622,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"68",0.937993997632437,0.348247494772921,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,NA,38771.8822549912,NA,-42244.5095466558,119788.274056638,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"69",2.17934307241563,0.0293061917296394,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,NA,NA,6.8968500256268,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"70",2.14848635907828,0.0316751388895856,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,NA,NA,1.74411176409082,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"71",1.6944064062734,0.0901880830230517,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,NA,NA,3.74470330368368,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"72",1.78092266616694,0.0749250852063765,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,NA,NA,2.67090564549188,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"73",1.60498475320769,0.108497160093748,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,NA,NA,2.35390050793234,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"74",-15.0239076266068,0.00000000000000000000000000000000000000000000000000511983979316248,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",0.0000364779727136907,NA,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"75",-10.3772201368533,0.000000000000000000000000314808449182202,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",0.0000240207128662045,NA,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"76",-7.30757546672122,0.000000000000272005565574758,"SR_IndivRicker_NoSurv",2,"Loughborough",0.0000187872911369701,NA,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"77",-6.39929968778482,0.000000000156091208387283,"SR_IndivRicker_NoSurv",3,"Georgia Strait",0.00000240371631092746,NA,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"78",-4.36751338082086,0.0000125669099571016,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",0.00000453156383706516,NA,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"79",-0.412708327767803,0.679820322687787,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,0.912675367658141,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"80",-1.9201034277933,0.0548448364172101,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,0.653692906041521,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"81",0.697926050464081,0.485223441933363,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,1.16710113137958,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"82",-0.712263843077538,0.476301409343202,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,0.854108189388053,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"83",0.909712380798813,0.362974213121628,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,1.22313109184169,NA,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"84",7.93296869883375,0.00000000000000213968375083614,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,19420.0622624221,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"85",4.33525219017697,0.0000145593109087237,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,14156.4921436844,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"86",2.72911709885876,0.00635041494864175,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,31490.3697338346,NA,NA,NA,NA,1973,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
